Assessment Name,Description,Category,Test Type,url
Leadership Test,Measures leadership aptitude and management style,Behavioural,Personality,https://www.shl.com/test/leadership
Cognitive Ability Test,Evaluates reasoning and analytical skills,Cognitive,Ability,https://www.shl.com/test/cognitive
Communication Skills Test,Assesses verbal and interpersonal communication,Behavioural,Personality,https://www.shl.com/test/communication
Teamwork Assessment,Measures collaboration and adaptability,Behavioural,Personality,https://www.shl.com/test/teamwork
Problem Solving Test,Tests logical and analytical problem-solving,Cognitive,Ability,https://www.shl.com/test/problem-solving
Customer Service Skills Test,Evaluates empathy and service orientation,Behavioural,Personality,https://www.shl.com/test/customer-service
Technical Aptitude Test,Measures technical understanding and concepts,Cognitive,Ability,https://www.shl.com/test/technical
Emotional Intelligence Test,Measures self-awareness and empathy,Behavioural,Personality,https://www.shl.com/test/emotional-intelligence
Time Management Test,Assesses prioritization and scheduling skills,Productivity,Skills,https://www.shl.com/test/time-management
Sales Potential Test,Evaluates persuasion and negotiation ability,Business,Personality,https://www.shl.com/test/sales-potential
